model_loss,accuracy,optimal_threshold,tpr,tnr,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
Random_Forest_Original_Loss,0.9482758620689655,0.5,0.896551724137931,1.0,0.953125,0.9482758620689655,0.9481371087928465,58.0,0.953125,0.9482758620689655,0.9481371087928465,58.0
Random_Forest_Dice_Loss,1.0,0.31052631578947365,1.0,1.0,1.0,1.0,1.0,58.0,1.0,1.0,1.0,58.0
Random_Forest_Focal_Loss,1.0,0.31052631578947365,1.0,1.0,1.0,1.0,1.0,58.0,1.0,1.0,1.0,58.0
Random_Forest_Tversky_Loss,1.0,0.31052631578947365,1.0,1.0,1.0,1.0,1.0,58.0,1.0,1.0,1.0,58.0
Logistic_Regression_Original_Loss,0.9310344827586207,0.5,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,58.0,0.9310344827586207,0.9310344827586207,0.9310344827586207,58.0
Logistic_Regression_Dice_Loss,0.9310344827586207,0.4789473684210527,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,58.0,0.9310344827586207,0.9310344827586207,0.9310344827586207,58.0
Logistic_Regression_Focal_Loss,0.5689655172413793,0.8157894736842105,0.13793103448275862,1.0,0.7685185185185186,0.5689655172413793,0.470609711573567,58.0,0.7685185185185186,0.5689655172413793,0.470609711573567,58.0
Logistic_Regression_Tversky_Loss,0.9310344827586207,0.4789473684210527,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,58.0,0.9310344827586207,0.9310344827586207,0.9310344827586207,58.0
Weighted_Logistic_Regression_Original_Loss,0.9310344827586207,0.5,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,58.0,0.9310344827586207,0.9310344827586207,0.9310344827586207,58.0
Weighted_Logistic_Regression_Dice_Loss,0.9310344827586207,0.4789473684210527,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,58.0,0.9310344827586207,0.9310344827586207,0.9310344827586207,58.0
Weighted_Logistic_Regression_Focal_Loss,0.5689655172413793,0.8157894736842105,0.13793103448275862,1.0,0.7685185185185186,0.5689655172413793,0.470609711573567,58.0,0.7685185185185186,0.5689655172413793,0.470609711573567,58.0
Weighted_Logistic_Regression_Tversky_Loss,0.9310344827586207,0.4789473684210527,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,58.0,0.9310344827586207,0.9310344827586207,0.9310344827586207,58.0
