model_loss,accuracy,precision,recall,f1,tpr,tnr,optimal_threshold
Random_Forest_Dice_Loss,0.9698795180722891,0.9438202247191011,1.0,0.9710982658959537,1.0,0.9390243902439024,0.6052631578947368
Random_Forest_Focal_Loss,0.9397590361445783,1.0,0.8809523809523809,0.9367088607594937,0.8809523809523809,1.0,0.9
Random_Forest_Tversky_Loss,0.9698795180722891,0.9438202247191011,1.0,0.9710982658959537,1.0,0.9390243902439024,0.6052631578947368
Logistic_Regression_Dice_Loss,0.927710843373494,0.9,0.9642857142857143,0.9310344827586207,0.9642857142857143,0.8902439024390244,0.6894736842105262
Logistic_Regression_Focal_Loss,0.7710843373493976,0.9423076923076923,0.5833333333333334,0.7205882352941176,0.5833333333333334,0.9634146341463414,0.9
Logistic_Regression_Tversky_Loss,0.9156626506024096,0.8571428571428571,1.0,0.9230769230769231,1.0,0.8292682926829268,0.26842105263157895
Weighted_Logistic_Regression_Dice_Loss,0.927710843373494,0.9,0.9642857142857143,0.9310344827586207,0.9642857142857143,0.8902439024390244,0.6894736842105262
Weighted_Logistic_Regression_Focal_Loss,0.7710843373493976,0.9423076923076923,0.5833333333333334,0.7205882352941176,0.5833333333333334,0.9634146341463414,0.9
Weighted_Logistic_Regression_Tversky_Loss,0.9156626506024096,0.8571428571428571,1.0,0.9230769230769231,1.0,0.8292682926829268,0.26842105263157895
